participant_id	ses	age	sex
10195	1	22.12	M
10195	2	23.56	M
10195	3	25.13	M
10843	1	16.15	F
10843	2	17.72	F
10843	3	19.71	F
10880	1	15.7	M
10880	2	17.26	M
10985	1	16.97	M
10990	1	19.39	M
10997	1	18.13	F
10997	2	19.63	F
10997	3	21.38	F
11048	1	17	F
11048	2	18.55	F
11048	3	20.08	F
11228	1	22.92	M
11228	2	24.39	M
11228	3	26.1	M
11248	1	25.16	F
11248	2	26.64	F
11248	3	28.23	F
11270	1	23.93	M
11272	1	28.48	F
11275	1	29.34	M
11275	2	30.84	M
11275	3	32.66	M
11289	1	28.36	M
11289	2	29.84	M
11289	3	31.29	M
11299	1	21.96	M
11299	2	23.86	M
11299	2	24.07	M
11314	1	17.27	M
11338	1	16.32	M
11338	2	17.91	M
11346	1	16.57	M
11346	2	18.71	M
11346	3	20.33	M
11370	1	15.57	F
11389	1	15.15	F
11389	2	16.62	F
11393	1	23.2	M
11393	2	24.64	M
11393	3	26.27	M
11394	1	24.07	F
11394	2	25.63	F
11394	3	27.32	F
11395	1	14.78	M
11395	2	16.41	M
11403	1	20.84	M
11403	2	22.29	M
11405	1	21.22	M
11405	2	22.75	M
11409	1	27.24	F
11409	2	28.85	F
11409	3	30.59	F
11411	1	26.48	F
11411	2	28.07	F
11411	3	29.85	F
11414	1	14.86	M
11414	2	16.43	M
11415	1	23.73	F
11415	2	25.18	F
11419	1	20.88	F
11419	2	22.36	F
11419	3	24.01	F
11421	1	25.32	M
11421	2	26.8	M
11421	3	28.27	M
11425	1	16.53	F
11425	2	18.31	F
11425	3	19.93	F
11426	1	24.77	M
11426	2	26.25	M
11426	3	28.03	M
11429	1	27.15	F
11429	2	28.7	F
11431	1	24.85	M
11431	2	26.31	M
11431	3	28.16	M
11434	1	25.97	M
11439	1	19.12	F
11441	1	24.27	F
11441	2	25.75	F
11441	3	27.5	F
11443	1	24.99	M
11443	2	26.56	M
11443	3	28.82	M
11444	1	24.57	M
11444	2	26.11	M
11444	3	27.83	M
11445	1	21.66	M
11445	1	21.66	M
11445	2	23.23	M
11445	3	24.76	M
11445	3	24.82	M
11447	1	22.3	F
11447	2	23.81	F
11447	3	25.44	F
11448	1	27.91	F
11448	2	29.39	F
11449	1	28.59	M
11449	2	30.16	M
11449	3	31.89	M
11451	1	27.42	M
11451	2	28.92	M
11452	1	21.74	M
11452	2	23.49	M
11452	3	25.02	M
11453	1	19.46	F
11453	1	19.54	F
11453	2	21.3	F
11453	3	23.31	F
11455	1	30.4	F
11455	1	30.41	F
11455	2	31.84	F
11455	3	33.35	F
11457	1	21.19	F
11457	2	22.69	F
11457	3	24.34	F
11458	1	23.78	F
11458	2	25.45	F
11458	3	27.06	F
11459	1	26.46	M
11460	1	25.08	M
11460	2	26.55	M
11460	3	28.77	M
11461	1	27.06	M
11461	2	28.57	M
11461	3	29.51	M
11461	3	30.2	M
11463	1	22.32	F
11463	2	23.8	F
11463	3	25.41	F
11465	1	25.45	M
11465	2	27.04	M
11465	3	28.75	M
11469	1	15.41	F
11469	2	16.92	F
11470	1	14.53	F
11471	1	13.34	M
11472	1	20.64	F
11472	2	22.1	F
11474	1	12.59	M
11474	2	16.44	M
11475	1	20.42	F
11475	2	21.84	F
11475	3	23.66	F
11475	3	23.81	F
11480	1	20.09	M
11480	2	21.55	M
11480	NA	NA	M
11481	1	29.31	M
11481	2	30.77	M
11481	3	32.34	M
11482	1	26.49	F
11482	2	28.12	F
11482	3	29.67	F
11484	1	14.25	F
11484	2	16.09	F
11484	3	17.75	F
11486	1	18.9	F
11486	2	20.46	F
11486	3	22.11	F
11487	1	NA	NA
11487	2	NA	NA
11487	2	NA	NA
11487	3	NA	NA
11488	1	17.6	M
11488	2	20.86	M
11489	1	17.84	F
11490	1	26.45	M
11492	1	19.56	M
11492	2	21.04	M
11492	3	22.58	M
11495	1	20.53	M
11495	2	21.98	M
11495	3	23.75	M
11496	1	18.58	M
11496	2	20.05	M
11496	3	21.72	M
11497	1	18.76	F
11497	2	20.25	F
11497	2	20.45	F
11498	1	20.61	F
11498	2	23.17	F
11499	1	14.08	F
11499	2	17.66	F
11501	1	24.72	F
11502	1	19.07	M
11502	2	20.78	M
11502	3	22.28	M
11503	1	17.54	F
11504	1	19.34	F
11504	2	20.8	F
11504	3	22.49	F
11506	1	19.08	F
11506	2	20.58	F
11507	1	20.03	F
11507	2	21.68	F
11508	1	18.87	F
11508	1	18.87	F
11508	2	20.46	F
11508	3	21.96	F
11509	1	15.7	F
11509	2	17.26	F
11510	1	14.47	F
11512	1	19.56	M
11512	2	21.06	M
11512	3	22.67	M
11513	1	18.66	M
11513	2	20.16	M
11513	3	21.79	M
11514	1	12.74	M
11514	2	14.24	M
11515	1	13	F
11515	2	14.59	F
11515	NA	NA	F
11515	NA	16.26	F
11516	1	23.23	F
11516	2	24.77	F
11517	1	21.57	U
11518	1	15.43	F
11518	2	17.07	F
11518	3	18.65	F
11519	1	17.78	F
11520	1	22.85	M
11521	1	17.27	F
11522	1	16.59	M
11522	2	18.4	M
11522	3	19.98	M
11524	1	22.48	F
11526	1	19.5	M
11529	1	28.33	F
11529	2	29.98	F
11529	3	31.44	F
11531	1	30.97	F
11531	2	32.64	F
11533	1	18.72	M
11535	1	18.78	M
11535	2	20.25	M
11535	3	21.88	M
11536	1	14.94	F
11536	2	16.55	F
11537	1	25.16	F
11537	2	26.62	F
11537	3	28.4	F
11538	1	21.58	F
11541	1	15.87	M
11541	2	17.43	M
11542	1	25.36	F
11542	2	26.83	F
11542	3	28.63	F
11543	1	13.93	M
11543	2	16.06	M
11544	1	16.56	F
11546	1	13.96	F
11547	1	19.78	M
11547	2	21.27	M
11547	3	22.8	M
11549	1	17.07	M
11550	1	30.26	M
11550	2	31.75	M
11551	1	19.56	U
11551	2	21.14	U
11551	3	22.69	U
11554	1	13.5	M
11554	2	15.2	M
11555	1	12.19	U
11557	1	17.22	M
11557	2	18.9	M
11558	1	13.93	M
11558	2	15.69	M
11558	3	17.22	M
11560	1	15.73	M
11561	1	14.89	M
11561	2	16.44	M
11561	3	18.01	M
11562	1	16.88	M
11564	1	12.99	F
11565	1	13.45	M
11565	2	14.95	M
11565	3	16.41	M
11568	1	16.59	F
11568	2	18.12	F
11568	3	19.55	F
11570	1	18.55	F
11570	2	20.39	F
11571	1	18.11	F
11571	2	20.24	F
11573	1	23.86	F
11573	2	25.36	F
11574	1	12.79	M
11575	1	12.11	M
11575	2	13.61	M
11575	3	15.07	M
11576	1	29.48	F
11576	2	30.9	F
11577	1	14.46	M
11577	2	16.03	M
11579	1	12.1	F
11579	2	13.54	F
11581	1	15.21	M
11581	2	16.67	M
11581	3	18.13	M
11582	1	12.47	F
11589	1	30.23	M
11589	2	31.76	M
11589	2	31.82	M
11592	1	13.69	F
11592	2	15.22	F
11595	1	12.58	F
11595	2	14.09	F
11599	1	13.29	F
11599	2	14.73	F
11600	1	13.65	F
11603	1	12.04	F
11605	1	14.25	M
11605	2	15.94	M
11609	1	16.64	F
11611	1	15.03	M
11616	1	13.17	F
11636	1	14.35	M
11637	1	15.7	F
11639	1	14.5	F
11641	1	16.36	F
11643	1	17.47	F
11643	2	18.91	F
11644	1	14.87	M
11651	1	14.2	M
11660	1	14.12	F
11671	1	16.84	F
